paper_id,title,year,journal,publication_status,doi,pmid,pmcid,preprint_doi,therapy,disease,sample_compartment,tissue_location,endpoint,endpoint_time,datasets_used,discovery_datasets,validation_datasets,feature_selection_method,model_type,external_validation_claimed,data_lineage_class,wet_validation,main_contribution,overlap_with_current_project,verified,verification_source
P_ARJIS_UC,Mucosal gene signatures to predict response to infliximab in patients with ulcerative colitis,2009,Gut,published,10.1136/gut.2009.178665,19700435,,,infliximab,UC,mucosa,colon,complete mucosal healing,week 4-8,GSE14580;GSE12251,GSE14580;GSE12251,internal cross-cohort,supervised microarray feature selection,finite gene panels,yes,GSE12251 is ACT1 subset; GSE14580 is GSE16879 subset,qPCR/protein in source work,classic infliximab mucosal signatures,signature source and reused cohorts,True,PubMed;GEO;primary paper
P_OSM,Oncostatin M drives intestinal inflammation and predicts response to tumor necrosis factor-neutralizing therapy in patients with inflammatory bowel disease,2017,Nature Medicine,published,10.1038/nm.4307,28368383,PMC5420447,,anti-TNF,IBD,mucosa,intestine,anti-TNF nonresponse,induction,classic anti-TNF cohorts plus discovery tissues,GSE12251;GSE16879;GSE23597,independent tissue cohorts,transcriptomic/scRNA mechanistic prioritization,single-gene/cell-state program,yes,classic public cohorts reused,organoid/mouse/human protein,OSM/OSMR nonresponse program,published program for audit,True,primary paper;PubMed
P_GAUJOUX,Cell-centred meta-analysis reveals baseline predictors of anti-TNFalpha non-response in biopsy and blood of patients with IBD,2019,Gut,published,10.1136/gutjnl-2017-315494,29618496,PMC6580771,,anti-TNF,IBD,mucosa;blood,colon;blood,response,induction,GSE14580;GSE12251;GSE16879;GSE107865,GSE14580;GSE12251;GSE16879,GSE107865 and wet cohorts,cell deconvolution and meta-analysis,cell-state/TREM1 program,yes,GSE14580 exact subset GSE16879,histology and blood,plasma-cell/macrophage/TREM1 program and audit of six older signatures,nearest anti-TNF signature audit but not cross-therapy,True,PMC6580771
P_SEVEN,A Multi-mRNA Prognostic Signature for Anti-TNFalpha Therapy Response in Patients with Inflammatory Bowel Disease,2021,Diagnostics,published,10.3390/diagnostics11101902,34679598,PMC8534494,,anti-TNF,IBD,mucosa,intestine,study-defined response,induction,GSE12251;GSE23597;GSE14580;E-MTAB-7604,GSE12251;GSE23597;GSE14580;E-MTAB-7604,leave-one-study-out only,multicohort meta-analysis plus greedy search,seven-gene directional score,no independent holdout,GSE12251 subset of GSE23597; GSE14580 subset of GSE16879,no,seven-gene anti-TNF signature,published signature inventory and lineage caution,True,PMC8534494
P_VDZ4,Expression Levels of 4 Genes in Colon Tissue Might Be Used to Predict Which Patients Will Enter Endoscopic Remission After Vedolizumab Therapy for Inflammatory Bowel Diseases,2020,Clinical Gastroenterology and Hepatology,published,10.1016/j.cgh.2019.08.030,31446181,PMC7196933,,vedolizumab,UC;CD,mucosa,colon,endoscopic remission,week 14 UC/month 6 CD,E-MTAB-7845;GSE73661;additional qPCR cohort,E-MTAB-7845,E-MTAB-7845 internal splits;GSE73661;additional qPCR cohort,randomized generalized linear model,four-gene panel,yes,all public VDZ cohorts already used,qPCR and immunohistochemistry,PIWIL1/MAATS1/RGS13/DCHS2 VDZ-specific panel,signature source; consumes both main public VDZ cohorts,True,PMC7196933
P_MIN,MIN score predicts primary response to infliximab/adalimumab and vedolizumab therapy in patients with inflammatory bowel diseases,2021,Genomics,published,10.1016/j.ygeno.2021.04.011,33872704,,,anti-TNF;vedolizumab,IBD,mucosa,intestine,primary response,mixed,multiple public and cellular datasets,public IBD cohorts,public cohorts,GIMATS cell-state simplification,six-gene MIN score,yes,mixed reused public cohorts,no,cross-therapy cell-state stratification,near-neighbor cross-therapy signature but not lineage/endpoint benchmark,True,PubMed 33872704
P_UST4,Machine learning gene expression predicting model for ustekinumab response in patients with Crohn's disease,2021,Immunity Inflammation and Disease,published,10.1002/iid3.506,34469062,PMC8589399,,ustekinumab,CD,mucosa,ileum,clinical response,week 8,GSE112366,GSE112366,random internal split,LASSO,four-gene coefficients without reported intercept,no,single UNITI-2 dataset,no,UST four-gene model,published UST signature,True,PMC8589399
P_UST_HUB,Identifying hub genes in response to ustekinumab and the impact of ustekinumab treatment on fibrosis in Crohn's disease,2024,Frontiers in Immunology,published,10.3389/fimmu.2024.1401733,38840917,PMC11150586,,ustekinumab,CD,mucosa;blood,ileum;rectum;blood,clinical response;mucosal healing;clinical remission,week 8,GSE112366;GSE207022;GSE207465,GSE112366;GSE207022;GSE207465,cross-compartment overlap only,DEG/WGCNA/PPI,directional hub panels,no independent trial,all three records are UNITI-2,no,UST response hub genes,key same-trial pseudoreplication warning,True,PMC11150586
P_UST_MH2,Intestinal mRNA expression profiles associated with mucosal healing in ustekinumab-treated Crohn's disease patients,2024,Journal of Translational Medicine,published,10.1186/s12967-024-05427-w,38926732,PMC11210135,,ustekinumab,CD,mucosa,rectum discovery;ileum validation,mucosal healing,week 8 discovery/week 24 validation,GSE207022;MORE NCT05542459,GSE207022,private prospective MORE cohort,LASSO and targeted validation,LCN2/KDM5D directional markers,yes,public discovery;private validation,qPCR,two-gene UST mucosal-healing markers,published UST signature,True,PMC11210135
P_UC4_CROSS,Ulcerative colitis immune cell landscapes and differentially expressed gene signatures determine novel regulators and predict clinical response to biologic therapy,2021,Scientific Reports,published,10.1038/s41598-021-88489-w,33907256,PMC8093422,,anti-TNF;anti-alpha4beta7,UC,mucosa,colon,treatment response,mixed,GSE12251;GSE73661,GSE12251;GSE73661,within same accessions,intersection and multivariable regression,four-gene cross-biologic resistance panel,no independent unused cohort,reused public data,no,IGFBP5/SELE/STC1/VNN2 resistance panel,cross-therapy near neighbor without systematic lineage/endpoint audit,True,primary article
